1775,2212,2158
3335,2652,2200
2411,2954,2268
5130,2262,2306
2279,2971,2377
2315,2936,2438
2402,1050,2453
1483,1847,2500
3590,1665,2500
2291,2970,2598
2267,3006,2700
2276,2972,2911
1615,1519,2953
1022,2066,3000
2571,1815,3000
2282,2970,3200
3693,2933,3278
2310,2963,3459
2310,2928,3616
2320,2943,3665
1533,1958,3746
2336,2829,4000
2305,2936,4137
984,1115,4422
2320,2970,4600
2315,2952,5067
757,1938,5432
2309,2948,5737
1121,2244,6600
2330,2849,7000
2707,1410,8138
1602,1813,10155
2310,2958,15150
2313,2952,46089
